Pais	Valor
India	8364086.0
Brazil	5590025.0
Russian Federation	1680579.0
France	1591152.0
Spain	1284408.0
Argentina	1205928.0
Colombia	1108086.0
United Kingdom	1102305.0
Mexico	943630.0
Peru	911787.0
Italy	790377.0
South Africa	730548.0
Germany	608611.0
Chile	515042.0
Belgium	468213.0
Poland	439536.0
Ukraine	433492.0
Indonesia	421731.0
Netherlands	390120.0
Philippines	388137.0
Turkey	384509.0
Czech Republic	378716.0
Saudi Arabia	348936.0
Israel	317332.0
Romania	267088.0
Canada	250685.0
Morocco	235310.0
Switzerland	192376.0
Nepal	182923.0
Ecuador	171433.0
Brazil	161106.0
Portugal	156940.0
Bolivia	142062.0
Sweden	137730.0
Panama	136024.0
Qatar	133370.0
Dominican Republic	128278.0
Austria	125099.0
India	124315.0
Costa Rica	113261.0
Guatemala	109147.0
Japan	103926.0
Belarus	102313.0
Honduras	99124.0
Ethiopia	97881.0
Armenia	97150.0
Venezuela (Bolivarian Republic)	93480.0
Mexico	93228.0
Lebanon	87097.0
Uzbekistan	67779.0
Slovakia	66772.0
Paraguay	65258.0
Bulgaria	64591.0
Ireland	63483.0
Nigeria	63328.0
Kyrgyzstan	61309.0
Algeria	59527.0
Azerbaijan	59509.0
Kenya	58587.0
Singapore	58036.0
Myanmar	56940.0
Croatia	56567.0
Palestinian Territory	56090.0
Serbia	53495.0
Denmark	51042.0
Ghana	48643.0
United Kingdom	47832.0
Georgia	46817.0
Afghanistan	41814.0
Italy	39764.0
Slovenia	39408.0
France	38728.0
Spain	38118.0
Peru	34671.0
El Salvador	34015.0
Argentina	32520.0
Colombia	32013.0
Russian Federation	28996.0
Korea (South)	27049.0
Norway	22578.0
Albania	22300.0
Cameroon	22103.0
Republic of Kosovo	21545.0
Montenegro	20851.0
Côte d'Ivoire	20778.0
Luxembourg	20344.0
South Africa	19585.0
Lithuania	18092.0
Finland	16930.0
Zambia	16698.0
Senegal	15650.0
Chile	14340.0
Indonesia	14259.0
Sudan	13943.0
Uganda	13351.0
Mozambique	13283.0
Namibia	13046.0
Ecuador	12704.0
Belgium	12331.0
Guinea	12331.0
Sri Lanka	12187.0
Angola	11813.0
Germany	10949.0
Turkey	10558.0
Canada	10384.0
Haiti	9100.0
Cape Verde	9053.0
Gabon	9005.0
Bolivia	8758.0
Ukraine	7952.0
Netherlands	7748.0
Mauritania	7744.0
Romania	7419.0
Philippines	7367.0
Cuba	7144.0
Bahamas	6843.0
Latvia	6752.0
Botswana	6642.0
Malta	6590.0
Poland	6475.0
Sweden	5997.0
Syrian Arab Republic (Syria)	5964.0
Swaziland	5955.0
Malawi	5934.0
Trinidad and Tobago	5764.0
Djibouti	5580.0
Nicaragua	5514.0
Saudi Arabia	5471.0
Estonia	5333.0
Suriname	5220.0
Rwanda	5174.0
Cyprus	5100.0
Equatorial Guinea	5089.0
Andorra	5045.0
Iceland	4989.0
Central African Republic	4866.0
Guyana	4324.0
Somalia	4229.0
Czech Republic	4133.0
Morocco	3982.0
Belize	3905.0
Thailand	3808.0
Guatemala	3752.0
Uruguay	3245.0
South Sudan	2943.0
Benin	2745.0
Panama	2744.0
Honduras	2730.0
Portugal	2694.0
Israel	2597.0
Switzerland	2555.0
Burkina Faso	2539.0
Togo	2406.0
Sierra Leone	2369.0
Dominican Republic	2257.0
Yemen	2063.0
Algeria	1999.0
New Zealand	1973.0
Lesotho	1963.0
Ireland	1930.0
Japan	1799.0
Afghanistan	1548.0
Chad	1517.0
Ethiopia	1503.0
Bulgaria	1466.0
Paraguay	1454.0
Armenia	1448.0
Costa Rica	1431.0
Myanmar	1330.0
Austria	1227.0
Viet Nam	1203.0
Kyrgyzstan	1167.0
Nigeria	1155.0
Kenya	1051.0
Nepal	1034.0
Belarus	995.0
El Salvador	992.0
Serbia	850.0
Sudan	837.0
Venezuela (Bolivarian Republic)	814.0
Azerbaijan	780.0
Denmark	729.0
Republic of Kosovo	714.0
Lebanon	676.0
Liechtenstein	659.0
Croatia	654.0
Burundi	606.0
Yemen	601.0
Papua New Guinea	597.0
Uzbekistan	577.0
Taiwan, Republic of China	567.0
Comoros	554.0
Albania	536.0
Palestinian Territory	504.0
Eritrea	480.0
Korea (South)	475.0
Mauritius	452.0
Slovenia	441.0
Cameroon	429.0
Monaco	412.0
Georgia	381.0
Finland	361.0
Bhutan	358.0
Mongolia	353.0
Zambia	349.0
Montenegro	326.0
Senegal	326.0
Ghana	320.0
Syrian Arab Republic (Syria)	301.0
Angola	296.0
Norway	282.0
Slovakia	261.0
Zimbabwe	248.0
Barbados	239.0
Haiti	232.0
Qatar	232.0
Malawi	184.0
Lithuania	182.0
Luxembourg	171.0
Mauritania	164.0
Seychelles	157.0
Nicaragua	156.0
Bahamas	150.0
Brunei Darussalam	148.0
Namibia	133.0
Guyana	130.0
Cuba	129.0
Côte d'Ivoire	126.0
Swaziland	117.0
Uganda	117.0
Suriname	112.0
Trinidad and Tobago	110.0
Somalia	107.0
Saint Lucia	105.0
Chad	99.0
Cape Verde	95.0
Mozambique	95.0
Latvia	85.0
Equatorial Guinea	83.0
Andorra	75.0
Saint Vincent and Grenadines	75.0
Sierra Leone	74.0
Estonia	73.0
Guinea	73.0
Burkina Faso	67.0
Malta	65.0
Belize	64.0
Central African Republic	62.0
Djibouti	61.0
Uruguay	61.0
South Sudan	59.0
Thailand	59.0
Togo	57.0
Gabon	55.0
Dominica	50.0
Lesotho	44.0
Benin	43.0
Rwanda	35.0
Viet Nam	35.0
Fiji	34.0
Grenada	30.0
Timor-Leste	30.0
Singapore	28.0
Cyprus	27.0
Holy See (Vatican City State)	27.0
New Zealand	25.0
Botswana	24.0
Sri Lanka	24.0
Lao PDR	24.0
Saint Kitts and Nevis	19.0
Iceland	17.0
Mauritius	10.0
Western Sahara	10.0
Barbados	7.0
Comoros	7.0
Papua New Guinea	7.0
Taiwan, Republic of China	7.0
Brunei Darussalam	3.0
Liechtenstein	3.0
Fiji	2.0
Monaco	2.0
Marshall Islands	2.0
Burundi	1.0
Western Sahara	1.0
Bhutan	0.0
Dominica	0.0
Eritrea	0.0
Grenada	0.0
Holy See (Vatican City State)	0.0
Lao PDR	0.0
Macao, SAR China	0.0
Marshall Islands	0.0
Mongolia	0.0
Réunion	0.0
Saint Kitts and Nevis	0.0
Saint Lucia	0.0
Saint Vincent and Grenadines	0.0
Seychelles	0.0
Timor-Leste	0.0
Macao, SAR China	0.0
Réunion	0.0
